region	get reads	find candidates	make pileup images	write outputs	num reads	num candidates	num examples
chr20:10001000-10001999	0.324	0.035	0.018	0.019	447	8	8
chr20:10017000-10017999	0.019	0.113	0.0	0.0	510	0	0
chr20:10033000-10033999	0.018	0.033	0.0	0.0	607	0	0
chr20:10049000-10049999	0.017	0.034	0.0	0.0	603	0	0
chr20:10065000-10065999	0.026	0.036	0.005	0.005	528	2	2
chr20:10081000-10081999	0.034	0.034	0.005	0.006	549	2	2
chr20:10097000-10097999	0.097	0.04	0.016	0.021	483	7	7
chr20:10113000-10113999	0.002	0.028	0.0	0.0	0	0	0
chr20:10129000-10129999	0.001	0.027	0.0	0.0	0	0	0
chr20:10145000-10145999	0.001	0.027	0.0	0.0	0	0	0
chr20:10161000-10161999	0.001	0.027	0.0	0.0	0	0	0
chr20:10177000-10177999	0.001	0.028	0.0	0.0	0	0	0
chr20:10193000-10193999	0.001	0.027	0.0	0.0	0	0	0
chr20:10209000-10209999	0.001	0.027	0.0	0.0	0	0	0
chr20:10225000-10225999	0.001	0.027	0.0	0.0	0	0	0
chr20:10241000-10241999	0.001	0.028	0.0	0.0	0	0	0
chr20:10257000-10257999	0.001	0.027	0.0	0.0	0	0	0
chr20:10273000-10273999	0.001	0.028	0.0	0.0	0	0	0
chr20:10289000-10289999	0.001	0.029	0.0	0.0	0	0	0
chr20:10305000-10305999	0.002	0.027	0.0	0.0	0	0	0
chr20:10321000-10321999	0.001	0.028	0.0	0.0	0	0	0
chr20:10337000-10337999	0.001	0.027	0.0	0.0	0	0	0
chr20:10353000-10353999	0.001	0.027	0.0	0.0	0	0	0
chr20:10369000-10369999	0.001	0.027	0.0	0.0	0	0	0
chr20:10385000-10385999	0.001	0.027	0.0	0.0	0	0	0
chr20:10401000-10401999	0.001	0.027	0.0	0.0	0	0	0
chr20:10417000-10417999	0.001	0.026	0.0	0.0	0	0	0
chr20:10433000-10433999	0.001	0.027	0.0	0.0	0	0	0
chr20:10449000-10449999	0.001	0.027	0.0	0.0	0	0	0
chr20:10465000-10465999	0.001	0.027	0.0	0.0	0	0	0
chr20:10481000-10481999	0.001	0.027	0.0	0.0	0	0	0
chr20:10497000-10497999	0.001	0.027	0.0	0.0	0	0	0
chr20:10513000-10513999	0.001	0.027	0.0	0.0	0	0	0
chr20:10529000-10529999	0.001	0.027	0.0	0.0	0	0	0
chr20:10545000-10545999	0.001	0.027	0.0	0.0	0	0	0
chr20:10561000-10561999	0.001	0.027	0.0	0.0	0	0	0
chr20:10577000-10577999	0.001	0.026	0.0	0.0	0	0	0
chr20:10593000-10593999	0.001	0.027	0.0	0.0	0	0	0
chr20:10609000-10609999	0.001	0.027	0.0	0.0	0	0	0
chr20:10625000-10625999	0.001	0.027	0.0	0.0	0	0	0
chr20:10641000-10641999	0.001	0.027	0.0	0.0	0	0	0
chr20:10657000-10657999	0.001	0.027	0.0	0.0	0	0	0
chr20:10673000-10673999	0.001	0.026	0.0	0.0	0	0	0
chr20:10689000-10689999	0.001	0.026	0.0	0.0	0	0	0
chr20:10705000-10705999	0.001	0.026	0.0	0.0	0	0	0
chr20:10721000-10721999	0.001	0.027	0.0	0.0	0	0	0
chr20:10737000-10737999	0.001	0.026	0.0	0.0	0	0	0
chr20:10753000-10753999	0.001	0.027	0.0	0.0	0	0	0
chr20:10769000-10769999	0.001	0.026	0.0	0.0	0	0	0
chr20:10785000-10785999	0.001	0.027	0.0	0.0	0	0	0
chr20:10801000-10801999	0.001	0.027	0.0	0.0	0	0	0
chr20:10817000-10817999	0.001	0.027	0.0	0.0	0	0	0
chr20:10833000-10833999	0.001	0.026	0.0	0.0	0	0	0
chr20:10849000-10849999	0.001	0.027	0.0	0.0	0	0	0
chr20:10865000-10865999	0.001	0.027	0.0	0.0	0	0	0
chr20:10881000-10881999	0.001	0.028	0.0	0.0	0	0	0
chr20:10897000-10897999	0.001	0.028	0.0	0.0	0	0	0
chr20:10913000-10913999	0.001	0.025	0.0	0.0	0	0	0
chr20:10929000-10929999	0.001	0.024	0.0	0.0	0	0	0
chr20:10945000-10945999	0.001	0.023	0.0	0.0	0	0	0
chr20:10961000-10961999	0.001	0.026	0.0	0.0	0	0	0
chr20:10977000-10977999	0.001	0.025	0.0	0.0	0	0	0
chr20:10993000-10993999	0.0	0.025	0.0	0.0	0	0	0
