region	get reads	find candidates	make pileup images	write outputs	num reads	num candidates	num examples
chr20:10009000-10009999	0.131	0.037	0.026	0.028	580	12	12
chr20:10025000-10025999	0.108	0.032	0.0	0.0	681	0	0
chr20:10041000-10041999	0.065	0.035	0.005	0.006	579	2	2
chr20:10057000-10057999	0.026	0.033	0.0	0.0	572	0	0
chr20:10073000-10073999	0.024	0.032	0.0	0.0	570	0	0
chr20:10089000-10089999	0.08	0.034	0.005	0.006	610	2	2
chr20:10105000-10105999	0.007	0.026	0.0	0.0	0	0	0
chr20:10121000-10121999	0.001	0.026	0.0	0.0	0	0	0
chr20:10137000-10137999	0.001	0.026	0.0	0.0	0	0	0
chr20:10153000-10153999	0.001	0.025	0.0	0.0	0	0	0
chr20:10169000-10169999	0.001	0.026	0.0	0.0	0	0	0
chr20:10185000-10185999	0.001	0.025	0.0	0.0	0	0	0
chr20:10201000-10201999	0.001	0.026	0.0	0.0	0	0	0
chr20:10217000-10217999	0.001	0.025	0.0	0.0	0	0	0
chr20:10233000-10233999	0.001	0.026	0.0	0.0	0	0	0
chr20:10249000-10249999	0.001	0.026	0.0	0.0	0	0	0
chr20:10265000-10265999	0.001	0.025	0.0	0.0	0	0	0
chr20:10281000-10281999	0.001	0.026	0.0	0.0	0	0	0
chr20:10297000-10297999	0.001	0.026	0.0	0.0	0	0	0
chr20:10313000-10313999	0.001	0.026	0.0	0.0	0	0	0
chr20:10329000-10329999	0.001	0.026	0.0	0.0	0	0	0
chr20:10345000-10345999	0.001	0.025	0.0	0.0	0	0	0
chr20:10361000-10361999	0.001	0.026	0.0	0.0	0	0	0
chr20:10377000-10377999	0.001	0.026	0.0	0.0	0	0	0
chr20:10393000-10393999	0.001	0.026	0.0	0.0	0	0	0
chr20:10409000-10409999	0.001	0.027	0.0	0.0	0	0	0
chr20:10425000-10425999	0.001	0.026	0.0	0.0	0	0	0
chr20:10441000-10441999	0.001	0.026	0.0	0.0	0	0	0
chr20:10457000-10457999	0.001	0.026	0.0	0.0	0	0	0
chr20:10473000-10473999	0.001	0.026	0.0	0.0	0	0	0
chr20:10489000-10489999	0.001	0.026	0.0	0.0	0	0	0
chr20:10505000-10505999	0.001	0.025	0.0	0.0	0	0	0
chr20:10521000-10521999	0.001	0.043	0.0	0.0	0	0	0
chr20:10537000-10537999	0.001	0.026	0.0	0.0	0	0	0
chr20:10553000-10553999	0.001	0.026	0.0	0.0	0	0	0
chr20:10569000-10569999	0.001	0.028	0.0	0.0	0	0	0
chr20:10585000-10585999	0.001	0.026	0.0	0.0	0	0	0
chr20:10601000-10601999	0.001	0.026	0.0	0.0	0	0	0
chr20:10617000-10617999	0.001	0.026	0.0	0.0	0	0	0
chr20:10633000-10633999	0.001	0.026	0.0	0.0	0	0	0
chr20:10649000-10649999	0.001	0.026	0.0	0.0	0	0	0
chr20:10665000-10665999	0.001	0.026	0.0	0.0	0	0	0
chr20:10681000-10681999	0.001	0.026	0.0	0.0	0	0	0
chr20:10697000-10697999	0.001	0.026	0.0	0.0	0	0	0
chr20:10713000-10713999	0.001	0.026	0.0	0.0	0	0	0
chr20:10729000-10729999	0.001	0.027	0.0	0.0	0	0	0
chr20:10745000-10745999	0.001	0.026	0.0	0.0	0	0	0
chr20:10761000-10761999	0.001	0.03	0.0	0.0	0	0	0
chr20:10777000-10777999	0.001	0.027	0.0	0.0	0	0	0
chr20:10793000-10793999	0.001	0.026	0.0	0.0	0	0	0
chr20:10809000-10809999	0.001	0.026	0.0	0.0	0	0	0
chr20:10825000-10825999	0.001	0.026	0.0	0.0	0	0	0
chr20:10841000-10841999	0.001	0.026	0.0	0.0	0	0	0
chr20:10857000-10857999	0.001	0.028	0.0	0.0	0	0	0
chr20:10873000-10873999	0.001	0.03	0.0	0.0	0	0	0
chr20:10889000-10889999	0.001	0.027	0.0	0.0	0	0	0
chr20:10905000-10905999	0.001	0.026	0.0	0.0	0	0	0
chr20:10921000-10921999	0.001	0.026	0.0	0.0	0	0	0
chr20:10937000-10937999	0.001	0.025	0.0	0.0	0	0	0
chr20:10953000-10953999	0.001	0.026	0.0	0.0	0	0	0
chr20:10969000-10969999	0.001	0.027	0.0	0.0	0	0	0
chr20:10985000-10985999	0.001	0.024	0.0	0.0	0	0	0
