region	get reads	find candidates	make pileup images	write outputs	num reads	num candidates	num examples
chr20:10006000-10006999	0.072	0.036	0.011	0.02	560	4	4
chr20:10022000-10022999	0.112	0.029	0.0	0.0	608	0	0
chr20:10038000-10038999	0.022	0.034	0.0	0.0	599	0	0
chr20:10054000-10054999	0.022	0.032	0.0	0.0	619	0	0
chr20:10070000-10070999	0.045	0.038	0.008	0.008	523	3	3
chr20:10086000-10086999	0.142	0.062	0.012	0.016	579	5	5
chr20:10102000-10102999	0.006	0.027	0.0	0.0	0	0	0
chr20:10118000-10118999	0.001	0.025	0.0	0.0	0	0	0
chr20:10134000-10134999	0.001	0.024	0.0	0.0	0	0	0
chr20:10150000-10150999	0.001	0.025	0.0	0.0	0	0	0
chr20:10166000-10166999	0.001	0.029	0.0	0.0	0	0	0
chr20:10182000-10182999	0.001	0.025	0.0	0.0	0	0	0
chr20:10198000-10198999	0.001	0.026	0.0	0.0	0	0	0
chr20:10214000-10214999	0.001	0.026	0.0	0.0	0	0	0
chr20:10230000-10230999	0.001	0.026	0.0	0.0	0	0	0
chr20:10246000-10246999	0.001	0.027	0.0	0.0	0	0	0
chr20:10262000-10262999	0.001	0.026	0.0	0.0	0	0	0
chr20:10278000-10278999	0.001	0.025	0.0	0.0	0	0	0
chr20:10294000-10294999	0.001	0.026	0.0	0.0	0	0	0
chr20:10310000-10310999	0.001	0.027	0.0	0.0	0	0	0
chr20:10326000-10326999	0.001	0.045	0.0	0.0	0	0	0
chr20:10342000-10342999	0.001	0.042	0.0	0.0	0	0	0
chr20:10358000-10358999	0.001	0.026	0.0	0.0	0	0	0
chr20:10374000-10374999	0.001	0.024	0.0	0.0	0	0	0
chr20:10390000-10390999	0.001	0.025	0.0	0.0	0	0	0
chr20:10406000-10406999	0.001	0.026	0.0	0.0	0	0	0
chr20:10422000-10422999	0.001	0.024	0.0	0.0	0	0	0
chr20:10438000-10438999	0.001	0.026	0.0	0.0	0	0	0
chr20:10454000-10454999	0.001	0.026	0.0	0.0	0	0	0
chr20:10470000-10470999	0.001	0.026	0.0	0.0	0	0	0
chr20:10486000-10486999	0.001	0.026	0.0	0.0	0	0	0
chr20:10502000-10502999	0.001	0.026	0.0	0.0	0	0	0
chr20:10518000-10518999	0.001	0.026	0.0	0.0	0	0	0
chr20:10534000-10534999	0.001	0.026	0.0	0.0	0	0	0
chr20:10550000-10550999	0.001	0.026	0.0	0.0	0	0	0
chr20:10566000-10566999	0.001	0.027	0.0	0.0	0	0	0
chr20:10582000-10582999	0.001	0.051	0.0	0.0	0	0	0
chr20:10598000-10598999	0.001	0.042	0.0	0.0	0	0	0
chr20:10614000-10614999	0.001	0.036	0.0	0.0	0	0	0
chr20:10630000-10630999	0.001	0.037	0.0	0.0	0	0	0
chr20:10646000-10646999	0.001	0.042	0.0	0.0	0	0	0
chr20:10662000-10662999	0.001	0.126	0.0	0.0	0	0	0
chr20:10678000-10678999	0.006	0.057	0.0	0.0	0	0	0
chr20:10694000-10694999	0.001	0.146	0.0	0.0	0	0	0
chr20:10710000-10710999	0.001	0.025	0.0	0.0	0	0	0
chr20:10726000-10726999	0.001	0.026	0.0	0.0	0	0	0
chr20:10742000-10742999	0.001	0.023	0.0	0.0	0	0	0
chr20:10758000-10758999	0.001	0.108	0.0	0.0	0	0	0
chr20:10774000-10774999	0.001	0.023	0.0	0.0	0	0	0
chr20:10790000-10790999	0.001	0.042	0.0	0.0	0	0	0
chr20:10806000-10806999	0.001	0.054	0.0	0.0	0	0	0
chr20:10822000-10822999	0.001	0.055	0.0	0.0	0	0	0
chr20:10838000-10838999	0.001	0.067	0.0	0.0	0	0	0
chr20:10854000-10854999	0.001	0.039	0.0	0.0	0	0	0
chr20:10870000-10870999	0.001	0.074	0.0	0.0	0	0	0
chr20:10886000-10886999	0.001	0.291	0.0	0.0	0	0	0
chr20:10902000-10902999	0.003	0.045	0.0	0.0	0	0	0
chr20:10918000-10918999	0.001	0.029	0.0	0.0	0	0	0
chr20:10934000-10934999	0.001	0.039	0.0	0.0	0	0	0
chr20:10950000-10950999	0.001	0.073	0.0	0.0	0	0	0
chr20:10966000-10966999	0.004	0.045	0.0	0.0	0	0	0
chr20:10982000-10982999	0.001	0.043	0.0	0.0	0	0	0
chr20:10998000-10998999	0.0	0.023	0.0	0.0	0	0	0
