region	get reads	find candidates	make pileup images	write outputs	num reads	num candidates	num examples
chr20:10007000-10007999	0.042	0.04	0.013	0.012	526	5	5
chr20:10023000-10023999	0.107	0.077	0.004	0.005	543	1	1
chr20:10039000-10039999	0.023	0.04	0.004	0.004	548	1	1
chr20:10055000-10055999	0.023	0.045	0.0	0.0	581	0	0
chr20:10071000-10071999	0.02	0.045	0.018	0.02	467	3	3
chr20:10087000-10087999	0.022	0.044	0.024	0.025	603	5	5
chr20:10103000-10103999	0.007	0.064	0.0	0.0	0	0	0
chr20:10119000-10119999	0.001	0.031	0.0	0.0	0	0	0
chr20:10135000-10135999	0.001	0.138	0.0	0.0	0	0	0
chr20:10151000-10151999	0.001	0.087	0.0	0.0	0	0	0
chr20:10167000-10167999	0.001	0.108	0.0	0.0	0	0	0
chr20:10183000-10183999	0.001	0.071	0.0	0.0	0	0	0
chr20:10199000-10199999	0.001	0.083	0.0	0.0	0	0	0
chr20:10215000-10215999	0.001	0.05	0.0	0.0	0	0	0
chr20:10231000-10231999	0.001	0.026	0.0	0.0	0	0	0
chr20:10247000-10247999	0.001	0.026	0.0	0.0	0	0	0
chr20:10263000-10263999	0.001	0.026	0.0	0.0	0	0	0
chr20:10279000-10279999	0.001	0.025	0.0	0.0	0	0	0
chr20:10295000-10295999	0.001	0.025	0.0	0.0	0	0	0
chr20:10311000-10311999	0.001	0.025	0.0	0.0	0	0	0
chr20:10327000-10327999	0.001	0.026	0.0	0.0	0	0	0
chr20:10343000-10343999	0.001	0.025	0.0	0.0	0	0	0
chr20:10359000-10359999	0.001	0.025	0.0	0.0	0	0	0
chr20:10375000-10375999	0.001	0.025	0.0	0.0	0	0	0
chr20:10391000-10391999	0.001	0.026	0.0	0.0	0	0	0
chr20:10407000-10407999	0.001	0.026	0.0	0.0	0	0	0
chr20:10423000-10423999	0.001	0.026	0.0	0.0	0	0	0
chr20:10439000-10439999	0.001	0.026	0.0	0.0	0	0	0
chr20:10455000-10455999	0.001	0.026	0.0	0.0	0	0	0
chr20:10471000-10471999	0.001	0.026	0.0	0.0	0	0	0
chr20:10487000-10487999	0.001	0.026	0.0	0.0	0	0	0
chr20:10503000-10503999	0.001	0.026	0.0	0.0	0	0	0
chr20:10519000-10519999	0.001	0.026	0.0	0.0	0	0	0
chr20:10535000-10535999	0.001	0.03	0.0	0.0	0	0	0
chr20:10551000-10551999	0.001	0.026	0.0	0.0	0	0	0
chr20:10567000-10567999	0.001	0.027	0.0	0.0	0	0	0
chr20:10583000-10583999	0.001	0.026	0.0	0.0	0	0	0
chr20:10599000-10599999	0.001	0.026	0.0	0.0	0	0	0
chr20:10615000-10615999	0.001	0.026	0.0	0.0	0	0	0
chr20:10631000-10631999	0.001	0.026	0.0	0.0	0	0	0
chr20:10647000-10647999	0.001	0.027	0.0	0.0	0	0	0
chr20:10663000-10663999	0.001	0.026	0.0	0.0	0	0	0
chr20:10679000-10679999	0.001	0.027	0.0	0.0	0	0	0
chr20:10695000-10695999	0.001	0.026	0.0	0.0	0	0	0
chr20:10711000-10711999	0.001	0.026	0.0	0.0	0	0	0
chr20:10727000-10727999	0.001	0.026	0.0	0.0	0	0	0
chr20:10743000-10743999	0.001	0.026	0.0	0.0	0	0	0
chr20:10759000-10759999	0.001	0.026	0.0	0.0	0	0	0
chr20:10775000-10775999	0.001	0.026	0.0	0.0	0	0	0
chr20:10791000-10791999	0.001	0.026	0.0	0.0	0	0	0
chr20:10807000-10807999	0.001	0.027	0.0	0.0	0	0	0
chr20:10823000-10823999	0.0	0.026	0.0	0.0	0	0	0
chr20:10839000-10839999	0.0	0.026	0.0	0.0	0	0	0
chr20:10855000-10855999	0.001	0.028	0.0	0.0	0	0	0
chr20:10871000-10871999	0.001	0.027	0.0	0.0	0	0	0
chr20:10887000-10887999	0.0	0.036	0.0	0.0	0	0	0
chr20:10903000-10903999	0.001	0.027	0.0	0.0	0	0	0
chr20:10919000-10919999	0.001	0.028	0.0	0.0	0	0	0
chr20:10935000-10935999	0.001	0.025	0.0	0.0	0	0	0
chr20:10951000-10951999	0.0	0.023	0.0	0.0	0	0	0
chr20:10967000-10967999	0.0	0.025	0.0	0.0	0	0	0
chr20:10983000-10983999	0.001	0.028	0.0	0.0	0	0	0
chr20:10999000-10999999	0.0	0.023	0.0	0.0	0	0	0
